Tensile Total;;Gapping;Sliding;Shear Combined;
MoS_tot_y;MoS_tot_u;MoSg;MoSslip;MoS_comb_y;MoS_comb_u
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 5,75 ; 5,51 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 5,75 ; 5,51 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 5,75 ; 5,51 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 34,49 ; 14,50 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 5,75 ; 5,51 ; 0,58 ; 0,83 
